course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites,school

STUDENT SUCCESS LABS,LEC,0,W,5:00PM,6:00PM,Trzepacz,,120,0,120,ADMN,2023-05-22,2023-08-18,SUMMER 2023,18295,1824,01,ADMN-1824,,,,,,,Other

SUMMER ADMINIST REGISTRATION,LEC,0,,,,Grega,,700,3,697,ADMN,2023-05-22,2023-08-18,SUMMER 2023,17910,6600,01,ADMN-6600,,,,,,,Other

TA TRAINING SEMINAR,LEC,0,,,,Mullet/Dunn,,500,0,500,ADMN,2023-05-22,2023-08-18,SUMMER 2023,18453,6800,01,ADMN-6800,,,,,,,Other

GRADUATE AWAY OPPORTUNITY,LEC,1,,,,Nevo,,0,0,0,ADMN,2023-05-22,2023-08-18,SUMMER 2023,18663,6960,01,ADMN-6960,,,,,,,Other

GAME SOUND & MUSICAL PLAY,STU,4,MR,8:00AM,10:05AM,Galloway,,19,1,18,ARTS,2023-05-22,2023-08-18,SUMMER 2023,18690,2560,01,ARTS-2560,Game Sound and Musical Play,,,,[],[],"Humanities, Arts and Social Sciences"

PRIVATE MUSIC LESSONS: VIOLIN,,1,,,,Morey,,10,2,8,ARTS,2023-05-22,2023-08-18,SUMMER 2023,18418,2750,01,ARTS-2750,Private Music Lessons,Private applied music lessons provide weekly instruction in instrumental and vocal performance. The goal of this class is to develop the student’s musical ability relative to capacity and interest. A supplementary lesson fee is charged.,,,[],[],"Humanities, Arts and Social Sciences"

PRIVATE MUSIC LESSONS: VIOLA,,1,,,,Morey,,10,0,10,ARTS,2023-05-22,2023-08-18,SUMMER 2023,18419,2750,02,ARTS-2750,Private Music Lessons,Private applied music lessons provide weekly instruction in instrumental and vocal performance. The goal of this class is to develop the student’s musical ability relative to capacity and interest. A supplementary lesson fee is charged.,,,[],[],"Humanities, Arts and Social Sciences"

PRIVATE MUSIC LESSONS: FLUTE,,1,,,,Gerbino/Fisher-Loc,,6,0,6,ARTS,2023-05-22,2023-08-18,SUMMER 2023,18420,2750,03,ARTS-2750,Private Music Lessons,Private applied music lessons provide weekly instruction in instrumental and vocal performance. The goal of this class is to develop the student’s musical ability relative to capacity and interest. A supplementary lesson fee is charged.,,,[],[],"Humanities, Arts and Social Sciences"

PRIVATE MUSIC LESSONS: OBOE,,1,,,,Gerbino/Fisher-Loc,,6,0,6,ARTS,2023-05-22,2023-08-18,SUMMER 2023,18421,2750,04,ARTS-2750,Private Music Lessons,Private applied music lessons provide weekly instruction in instrumental and vocal performance. The goal of this class is to develop the student’s musical ability relative to capacity and interest. A supplementary lesson fee is charged.,,,[],[],"Humanities, Arts and Social Sciences"

PRIVATE MUSIC LESSONS:CLARINET,,1,,,,Gerbino/Fisher-Loc,,6,0,6,ARTS,2023-05-22,2023-08-18,SUMMER 2023,18422,2750,05,ARTS-2750,Private Music Lessons,Private applied music lessons provide weekly instruction in instrumental and vocal performance. The goal of this class is to develop the student’s musical ability relative to capacity and interest. A supplementary lesson fee is charged.,,,[],[],"Humanities, Arts and Social Sciences"

PRIVATE MUSIC LESSONS: SAX,,1,,,,Gerbino/Fisher-Loc,,6,0,6,ARTS,2023-05-22,2023-08-18,SUMMER 2023,18423,2750,06,ARTS-2750,Private Music Lessons,Private applied music lessons provide weekly instruction in instrumental and vocal performance. The goal of this class is to develop the student’s musical ability relative to capacity and interest. A supplementary lesson fee is charged.,,,[],[],"Humanities, Arts and Social Sciences"

